_id,execution_id,workflow,export_timestamp,raspberry_pi,summary.count,summary.mean_humidity,summary.mean_temp_c,summary.min_humidity,summary.max_humidity,summary.min_temp_c,summary.max_temp_c,summary.start_time,summary.end_time,metrics.task_B_task_duration,metrics.task_B_task_success,metrics.task_B_task_records_total,metrics.task_B_execution_start_timestamp,total_duration_seconds,raw_data_count,source_file,all_tasks_successful,energy_metrics_added_at,energy_monitoring.enabled,energy_monitoring.prometheus_url,energy_monitoring.sampling_interval_seconds,energy_monitoring.collection_duration_seconds,energy_monitoring.samples_count,energy_monitoring.raspberry_pi.power.mean_watts,energy_monitoring.raspberry_pi.power.max_watts,energy_monitoring.raspberry_pi.power.min_watts,energy_monitoring.raspberry_pi.power.std_watts,energy_monitoring.raspberry_pi.cpu.mean_percent,energy_monitoring.raspberry_pi.cpu.max_percent,energy_monitoring.raspberry_pi.ram.mean_percent,energy_monitoring.raspberry_pi.ram.max_percent,energy_monitoring.raspberry_pi.temperature.mean_celsius,energy_monitoring.raspberry_pi.temperature.max_celsius,energy_monitoring.raspberry_pi.energy.total_joules,energy_monitoring.raspberry_pi.energy.total_wh,energy_monitoring.pc.power.mean_watts,energy_monitoring.pc.power.max_watts,energy_monitoring.pc.power.min_watts,energy_monitoring.pc.power.std_watts,energy_monitoring.pc.cpu.mean_percent,energy_monitoring.pc.cpu.max_percent,energy_monitoring.pc.ram.mean_percent,energy_monitoring.pc.ram.max_percent,energy_monitoring.pc.temperature.mean_celsius,energy_monitoring.pc.temperature.max_celsius,energy_monitoring.pc.energy.total_joules,energy_monitoring.pc.energy.total_wh
697731bffb51a45daad274d5,20260126_101321,DHT-Sensor-Capture-And-Preprocess,2026-01-26T09:19:59.538Z,192.168.1.50,291,63,19.479725085910655,63,63,19.4,19.5,1769418867.2607934,1769419168.1742833,16.6034,1,291,1769419172.582949,16.6034,291,/tmp/fog_data_20260126_101321/sensor_output_20260126_101321_preprocessed.json,false,2026-01-26T09:20:04.296Z,true,http://localhost:9090,2,401.04909920692444,198,1.6623401751505187,3.12735188017768,1.42713492455001,0.3427294744195327,4.81863247863247,38.69999999999967,6.654997983055159,7.156726714622352,47.11985858585859,47.337,666.3089659458481,0.18508582387384667,2.967285429292929,6.42484,2.053369,1.007667689252249,8.595982905982899,26.783333333333232,64.21272419889765,69.71951367822611,44.601010101010104,61,1185.0759990744405,0.3291877775206779
697735f46c40064cb3b5dd9a,20260126_103123,DHT-Sensor-Capture-And-Preprocess,2026-01-26T09:37:56.761Z,192.168.1.50,292,63,19.66986301369863,63,63,19.6,19.7,1769419944.0128648,1769420244.9202864,17.2165,1,292,1769420249.1252298,17.2165,292,/tmp/fog_data_20260126_103123/sensor_output_20260126_103123_preprocessed.json,false,2026-01-26T09:38:00.466Z,true,http://localhost:9090,2,396.1147928237915,195,1.6217759156579863,1.9863381044371002,1.42384336330193,0.18087470104675904,3.6365979381443125,19.71666666666654,6.577772358382863,7.254782649138036,48.21892820512821,48.499,639.6442439700882,0.1776789566583578,2.9643604974358975,6.971035,2.114948,1.0515540972710042,8.524355670103064,30.099999999999923,70.46284430969409,76.0188627562856,46.712820512820514,63,1166.5054537487822,0.3240292927079951
69773c3c517e901e73205663,20260126_105802,DHT-Sensor-Capture-And-Preprocess,2026-01-26T10:04:44.095Z,192.168.1.50,292,58,19.642465753424656,58,58,19.6,19.7,1769421550.9937797,1769421851.8890705,16.8904,1,292,1769421856.2896569,16.8904,292,/tmp/fog_data_20260126_105802/sensor_output_20260126_105802_preprocessed.json,false,2026-01-26T10:04:47.862Z,true,http://localhost:9090,2,404.35492515563965,199,1.5958934908858873,1.9131975903716,1.42731213970589,0.17064442269493466,4.839730639730655,35.46666666666776,6.6106793969226025,7.279005953119189,47.337,47.918,642.4799254047379,0.1784666459457605,2.5941329949748746,6.274142,2.133307,0.7958568679917395,5.790566835871454,17.783333333332692,66.1838637545666,67.92939309797698,44.36683417085427,60,1040.139120220251,0.28892753339451416
697742e19b84e39bd163abdd,20260126_112635,DHT-Sensor-Capture-And-Preprocess,2026-01-26T10:33:05.106Z,192.168.1.50,290,59.88275862068966,19.804827586206898,59,60,19.7,19.9,1769423255.2942302,1769423553.4712486,17.2577,1,290,1769423557.9048476,17.2577,290,/tmp/fog_data_20260126_112635/sensor_output_20260126_112635_preprocessed.json,false,2026-01-26T10:33:10.009Z,true,http://localhost:9090,2,392.81313729286194,194,1.6471488095156994,2.2545100822855098,1.4381197188864603,0.22400653603232615,3.7594127806562883,28.6666666666694,6.610691489123665,7.007511162098479,48.45707216494846,49.08,646.5920557889044,0.1796089043858068,2.7327764175257734,6.647063,2.125061,0.9104213807426217,6.853515624999986,17.699999999999065,62.46916765562211,65.01825922991854,45.329896907216494,61,1067.88060662948,0.29663350184152226
697744fc843f066662ad02a7,20260126_113538,DHT-Sensor-Capture-And-Preprocess,2026-01-26T10:42:04.368Z,192.168.1.50,291,59.4639175257732,20.74742268041237,58,67,20.1,21,1769423792.1013117,1769424092.9898403,16.4537,1,291,1769424097.2147763,16.4537,291,/tmp/fog_data_20260126_113538/sensor_output_20260126_113538_preprocessed.json,false,2026-01-26T10:42:09.005Z,true,http://localhost:9090,2,388.8975374698639,192,1.6559597378318898,2.32316033452648,1.4352773741826799,0.2549906392171325,4.194851657940662,24.216666666667763,6.818346334788025,7.247418764727764,48.744109375,49.08,642.7980459175404,0.17855501275487234,2.6194349479166665,6.655767,2.056334,0.8012102323327692,5.7093033509700675,15.725000000001415,62.31855138896308,63.36350586307111,45.473958333333336,67,1012.5471354956398,0.2812630931932333
6977473dd98524cf0b715ff8,20260126_114504,DHT-Sensor-Capture-And-Preprocess,2026-01-26T10:51:41.419Z,192.168.1.50,292,59.23287671232877,20.458219178082196,59,60,20.3,20.6,1769424369.947705,1769424670.8364232,16.031,1,292,1769424675.0175385,16.031,292,/tmp/fog_data_20260126_114504/sensor_output_20260126_114504_preprocessed.json,false,2026-01-26T10:51:45.118Z,true,http://localhost:9090,2,400.1278336048126,197,1.618820367860709,1.8459112909207802,1.4355952653897,0.1584277919856211,5.5601374570447195,49.49999999999666,7.0452601688102146,7.75145727396751,48.37808121827411,49.08,644.4612620282197,0.17901701723006103,2.5895640609137054,6.787761,2.121022,0.8375012008748359,5.529725085910668,16.741666666666788,62.761074540367105,63.64804979149356,45.370558375634516,65,1028.8578828373636,0.2857938563437121
69774c57afcf4602885a608c,20260126_120643,DHT-Sensor-Capture-And-Preprocess,2026-01-26T11:13:27.484Z,192.168.1.50,291,18.378006872852232,45.761168384879724,15,23,40.3,52,1769425663.5063329,1769425963.7208269,23.3084,1,291,1769425969.2481015,23.3084,291,/tmp/fog_data_20260126_120643/sensor_output_20260126_120643_preprocessed.json,false,2026-01-26T11:13:33.798Z,true,http://localhost:9090,2,408.4440996646881,201,1.6280059851412203,1.97480012239179,1.4382277738465703,0.17653127374743757,4.311892797320011,33.716666666665944,6.690236495804497,7.323383046012655,52.07810945273632,54.31,663.8671408878338,0.1844075391355094,4.171624651741293,9.691327,2.167177,2.158413914645925,16.95639730639743,80.82499999999982,71.65592484052857,96.90508041903597,51.49751243781095,69,1702.0265305725543,0.4727851473812651
69774fbcc39778301e046bc2,20260126_122103,DHT-Sensor-Capture-And-Preprocess,2026-01-26T11:27:56.269Z,192.168.1.50,291,53.63917525773196,22.878006872852232,51,54,22.5,23.3,1769426533.5949469,1769426834.4778411,23.9489,1,291,1769426839.770736,23.9489,291,/tmp/fog_data_20260126_122103/sensor_output_20260126_122103_preprocessed.json,false,2026-01-26T11:28:01.598Z,true,http://localhost:9090,2,415.8557653427124,205,1.5286667046128142,1.9280487031355,1.37557824592919,0.169999543629098,5.225735294117537,44.366666666664976,5.8763239867143815,6.540873434205629,40.16289268292683,50.242000000000004,635.5941272634335,0.17655392423984265,2.1874016878048783,3.314436,1.886872,0.30552116401835006,7.003583333333342,20.683333333334616,63.53202031581026,65.24881539480967,42.604878048780485,45,908.7967409681347,0.2524435391578152
69775277bb348a8d7fafd273,20260126_123314,DHT-Sensor-Capture-And-Preprocess,2026-01-26T11:39:35.387Z,192.168.1.50,291,51.41580756013746,22.35876288659794,51,52,22.1,22.4,1769427243.3461173,1769427544.2387652,16.5004,1,291,1769427548.4369054,16.5004,291,/tmp/fog_data_20260126_123314/sensor_output_20260126_123314_preprocessed.json,false,2026-01-26T11:39:40.976Z,true,http://localhost:9090,2,384.2105824947357,190,1.7353553086963078,3.4616818391260202,1.4205526080329298,0.42487680130565075,3.77195767195759,29.15000000000569,5.987820216779702,6.57808042912067,46.254505263157895,46.756,667.2624303799392,0.18535067510553868,2.6421068631578946,6.350094,2.120332,0.8864250107635419,6.304812834224596,15.991666666664074,64.08817000384823,68.21086824826187,46.22105263157895,68,1012.6094906085817,0.28128041405793935
69793765cc3ca268a7b96f0d,20260127_230047,DHT-Sensor-Capture-And-Preprocess,2026-01-27T22:08:37.123Z,192.168.1.50,292,62,23.165753424657535,62,62,23.1,23.3,1769551372.2791307,1769551673.1983204,23.2332,1,292,1769551680.39691,23.2332,292,/tmp/fog_data_20260127_230047/sensor_output_20260127_230047_preprocessed.json,false,2026-01-27T22:08:42.025Z,true,http://localhost:9090,2,473.161554813385,231,1.7355318183575936,3.50265860704048,1.44973111387051,0.3882094115813117,8.499195906433032,49.416666666669094,7.127438118539446,7.549725598412504,50.10366666666667,50.823,818.23629383607,0.22728785939890833,4.499679831168831,8.223058,3.317689,0.9969439022241409,17.521585903083718,43.466666666651385,94.15333444300454,96.52983507581308,57.095238095238095,68,2124.459010688118,0.5901275029689216
